C2,R21,RCC2,MFR,Tensile Modulus,Flexural Modulus,Impact Strength
12.5,25.4,46.6244898,8.5,1110,1056,61
12.1,25.5,46.6244898,8.5,1060,1091,64
11.3,24.7,46.6244898,8.5,1129,1072,51
10.6,23.5,46.6244898,8.5,1030,1034,56
11.2,26.3,46.6244898,8.5,1067,1022,57
11.9,25.6,46.6244898,8.5,1075,1047,53
10.2,26.7,46.6244898,8.5,1008,1062,61
12.5,26.2,46.6244898,8.5,1047,996,60
12.8,26.3,46.6244898,8.5,1074,1025,56
10.3,24.8,46.6244898,8.5,1077,1056,63
11.5,26.6,46.6244898,8.5,1182,1143,56
12.3,25.4,46.6244898,8.5,1108,1048,59
12,27.2,46.6244898,8.5,1045,1011,63
11.2,25.5,46.6244898,8.5,1137,1046,59
11.5,26.5,46.6244898,8.5,1029,937,65
11.2,25.3,46.6244898,8.5,1050,959,60
12.2,27,46.6244898,8.5,1000,1018,64
10.9,24.8,46.6244898,8.5,972,1027,65
11.1,25.3,46.6244898,8.5,1044,1055,63
10.6,24.4,46.6244898,8.5,1108,1019,65
11.1,24.9,46.6244898,8.5,1085,1060,63
11.4,25,46.6244898,8.5,1133,1094,63
11.6,25.9,46.6244898,8.5,1024,992,63
12.1,25.8,46.6244898,8.5,1105,1084,59
10.8,26.9,46.6244898,8.5,978,953,65
10,26.5,46.6244898,8.5,984,1003,66
10.1,26.1,46.6244898,8.5,1057,1018,60
10.1,26.1,46.6244898,8.5,1038,1018,50
8.5,24.5,46.6244898,8.5,1102,1100,54
7.9,25.6,46.6244898,8.5,1080,1062,60
9.8,26.6,46.6244898,8.5,1007,957,62
8.9,24.3,46.6244898,8.5,1092,1058,58
10.2,27.8,46.6244898,8.5,962,921,65
8.8,25.6,46.6244898,8.5,1054,1010,57
9.3,25.3,46.6244898,8.5,1081,1017,63
9.9,26.7,46.6244898,8.5,999,986,63
11,25.8,46.6244898,8.5,1034,1089,65
10.4,26.4,46.6244898,8.5,1021,1029,67
10.6,25.5,46.6244898,8.5,1009,1011,64
10.7,25.5,46.6244898,8.5,1026,1042,68
10.3,25.6,46.6244898,8.5,1060,1082,63
10.8,23.5,46.6244898,8.5,1075,1046,31
10.6,26.5,46.6244898,8.5,1012,1014,68
10.6,26.1,40.6,8.5,1057,982,63
11.5,24,47.9,8.5,1124,1230,57
11.5,24.7,46.6,8.5,1111,1227,60
10.5,25.6,41,8.5,1075,1136,62
11.8,23.5,50.2,8.5,1117,1078,51
11.9,23.1,51.5,8.5,1116,1064,52
11.6,24.5,47.3,8.5,1057,1009,57
11.5,25.2,45.6,8.5,1044,987,60
11.2,24.7,45.4,8.5,1063,999,58
10.9,24.6,44.4,8.5,1026,973,60
10.3,24.3,42.5,8.5,1170,1116,53
12.4,25.3,49,8.5,1067,1021,61
12.6,25.6,49.2,8.5,1087,931,59
12.1,25.7,47,8.5,1061,918,61
12,24,50.1,8.5,1029,933,59
12.7,25.6,49.5,8.5,1055,1020,59
11.8,23.9,49.4,8.5,1072,1054,55
11.9,24.4,48.8,8.5,1044,1033,58
11,24.2,45.5,8.5,1174,971,57
11.8,24.2,48.8,8.5,1149,957,56
11.3,24.3,46.6,8.5,1177,945,53
11,24.6,44.8,8.5,1143,949,58
11.5,24.7,46.6,8.5,1120,892,59
11.4,26.3,43.4,8.5,1079,1078,66
11,23.6,46.6,8.5,1187,1115,58
11.4,24.3,46.9,8.5,1116,1010,57
11.2,24,46.7,8.5,1120,978,56
11.1,23.7,46.8,8.5,1129,1145,59
12.1,25.5,47.5,8.5,1188,1120,48
12.2,25.7,47.5,8.5,1177,1100,49
12,24.8,48.3,8.5,1180,1086,51
11.3,24.9,45.3,8.5,1080,1070,50
9,24.2,37.2,8.5,1208,1170,51
12.1,24.7,49,8.5,1076,1040,63
10.5,23.4,44.8,8.5,1199,1150,56
11,24.4,45.1,8.5,1107,1100,60
10.7,22.9,46.7,8.5,1089,1080,65
10.7,26,41.2,8.5,1101,1130,55
10.7,25.5,42,8.5,1069,1130,57
9.9,22.4,44.2,8.5,1100,1120,53
10.5,23.2,45.3,8.5,1130,1120,51
11,22.5,48.9,8.5,1119,1090,54
11.4,22.7,50.2,8.5,1190,1165,50
11.6,22.4,51.8,8.5,1177,1135,49
6,15,40,16,1443,1550,8.7
4.6,14.2,32.4,16,1563,1555,7
4.4,12.9,34.1,16,1559,1556,8
4.5,13.1,34.4,16,1413,1436,8.6
6.7,18.9,35.4,16,1381,1440,11.9
4.8,14.8,32.4,16,1352,1453,9.5
4.5,14.4,31.3,16,1347,1405,8.9
3.7,14.1,26.2,16,1373,1461,7.9
4.2,14.9,28.2,16,1473,1529,11.2
4,13.9,28.7,16,1349,1200,9.2
4.1,13.2,31.1,16,1336,1166,7.9
6,16.7,35.9,16,1488,1302,10.1
8.3,16.6,50,16,1227,980,7.6
8.4,20,42,16,1480,1217,10.9
5.1,13.8,37.2,16,1443,1437,7.4
5.4,13.6,39.7,16,1428,1397,8.1
6.5,14.4,45.1,16,1437,1402,8.5
5.2,14.2,36.7,16,1433,1368,8.5
6.6,15.9,41.6,16,1478,1427,9.7
5.6,14.9,37.6,16,1471,1380,8.8
3.3,14.3,23.2,16,1384,1341,7.3
4,14.6,27.4,16,1481,1385,8.2
5.6,14.3,39.2,16,1489,1384,9.5
3.6,14,25.8,16,1390,1318,7.3
6.8,14.7,46.3,16,1358,1282,9.5
8.4,17.6,47.8,16,1376,1279,11.1
8.1,16.9,48,16,1282,1197,10.4
9.6,19.2,50,16,1345,1259,12.8
7.6,17,44.8,16,1348,1263,10
5.1,14.8,34.4,16,1346,1258,7.1
7,14.5,48.1,16,1479,1369,7.9
4,13.1,30.5,16,1318,1194,5.5
9.6,19.3,49.8,16,1558,1516,9.8
5,14.8,33.7,16,1614,1526,6.1
4.8,13.8,34.7,16,1647,1505,6.1
5.6,14.7,38,16,1627,1539,7.2
5,14.4,34.7,16,1673,1564,5.9
4.7,14.4,32.8,16,1625,1518,6.3
6.6,14.9,44.3,16,1615,1484,7.5
5.2,14.2,36.7,16,1502,1395,5.8
6.6,14.2,46.3,16,1567,1372,9.2
4.3,13.9,30.9,16,1553,1376,8.3
6.4,14.7,43.6,16,1568,1380,8
5.3,14.5,36.5,16,1362,1236,9
6,16.3,36.8,16,1384,1283,9.3
7.5,16,46.9,16,1486,1323,9
3.9,14.3,27.4,16,1367,1222,9.4
6.4,15.2,42,16,1412,1293,9.3
4.1,14.4,28.4,16,1491,1332,7.9
4,13.4,29.8,16,1449,1270,7.6
